node,ms-uri,node-structure,msItem-id,structure-id,xpath
"<bibl >Add. 14,732<ptr target='http://syriaca.org/manuscript/639'></ptr>, no. 5</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA</bibl>,p1a1,structure-13,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/note/bibl
"<bibl >Add. 14,732<ptr target='http://syriaca.org/manuscript/639'></ptr>, no. 8</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA</bibl>,p2a1,structure-13,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem/note/bibl
"<bibl >Add. 14,733<ptr target='http://syriaca.org/manuscript/643'></ptr>, no. 1</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA<ptr target='VALUE'></ptr>CDATA</bibl>,p3a1,structure-13,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/note/bibl
"<bibl >Add. 14,732, no. 6</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA</bibl>,p4a5,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[5]/note/bibl
"<bibl >Add. 14,649, no. 23</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA</bibl>,p4a6,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[6]/note/bibl
"<bibl >Add. 14,641, no. 4, g</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA</bibl>,p4a7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[7]/note/bibl
"<bibl >Add. 14,641, no. 4, h</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA</bibl>,p4a10,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[10]/note/bibl
"<bibl >Add. 14,734, fol. 193 b</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA</bibl>,p4a11,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[11]/note/bibl
"<bibl >Add. 14,647, no. 33</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA</bibl>,p4a12,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[12]/note/bibl[1]
"<bibl >Add. 14,734, fol. 177 a</bibl>",http://syriaca.org/manuscript/647,<bibl >CDATA</bibl>,p4a14,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[14]/note/bibl
