uri,shelfmark,hmml_project_number,country,city,holding_institution,repository,collection,support,hmml_genres,locus,height_cm,width_cm,layout,date_after,date_before
https://w3id.org/vhmml/readingRoom/view/500941,MS 5,SEIQ 00005,Iraq,Qarah Qūsh,,Syriac Catholic Seminary,SEIQ,PAPER,Scientific works,fol. 1r-142v,,,"1 column, 20 lines per page, fol. 1r-130v; 2 columns, 20 lines per page, fol. 131r-134r",1900,2000
https://w3id.org/vhmml/readingRoom/view/500942,MS 1,PLE AA 00001,Turkey,Ṭur ʻAbdin,,Private Library of Alshamas Aziz Akyuz,PLE AA,PAPER,Liturgical books (Eastern Christian) | Prayers,fol. 1r-39v,,,"1 column, 16 lines per page",1960,1960
https://w3id.org/vhmml/readingRoom/view/500943,MS 2,PLE AA 00002,Turkey,Ṭur ʻAbdin,,Private Library of Alshamas Aziz Akyuz,PLE AA,PAPER,Liturgical books (Eastern Christian),fol. 1r-143v,,,"1 column, 18 lines per page",1971,1971
https://w3id.org/vhmml/readingRoom/view/500944,MS 3,PLE AA 00003,Turkey,Ṭur ʻAbdin,,Private Library of Alshamas Aziz Akyuz,PLE AA,PAPER,Liturgical books (Eastern Christian),fol. 1r-87v,,,"1 column, 19 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500945,MS 4,PLE AA 00004,Turkey,Ṭur ʻAbdin,,Private Library of Alshamas Aziz Akyuz,PLE AA,PAPER,Psalters | Liturgical books (Eastern Christian),fol. 1r-201v,,,"1 column, 14 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500946,MS 5,PLE AA 00005,Turkey,Ṭur ʻAbdin,,Private Library of Alshamas Aziz Akyuz,PLE AA,PAPER,Psalters | Liturgical books (Eastern Christian),fol. 1r-202v,,,"1 column, 12 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500947,MS 6,PLE AA 00006,Turkey,Ṭur ʻAbdin,,Private Library of Alshamas Aziz Akyuz,PLE AA,PAPER,Hagiographies,fol. 1r-115v,,,"1 column, 11 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500948,MS 7,PLE AA 00007,Turkey,Ṭur ʻAbdin,,Private Library of Alshamas Aziz Akyuz,PLE AA,PAPER,Prayers | Calendars,fol. 1r-64v,,,"1 column, 13 lines per page",1750,1850
https://w3id.org/vhmml/readingRoom/view/500952,MS 4,PLQ ABA 00004,Iraq,Qarah Qūsh,,Private Library of ʻAzīz Banī ʻAṭā Allāh,PLQ ABA,PAPER,Scientific works,fol. 1r-26v,,,"1 column, 14 lines per page",1800,2000
https://w3id.org/vhmml/readingRoom/view/500954,MS 6,PLQ ABA 00006,Iraq,Qarah Qūsh,,Private Library of ʻAzīz Banī ʻAṭā Allāh,PLQ ABA,PAPER,Liturgical books (Eastern Christian),fol. 1r-16v,,,"1 column, 22 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500955,MS 7,PLQ ABA 00007,Iraq,Qarah Qūsh,,Private Library of ʻAzīz Banī ʻAṭā Allāh,PLQ ABA,PAPER,Liturgical books (Eastern Christian),fol. 1r-17v,,,"1 column, 22 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500956,PLQ ABA 00008,PLQ ABA 00008,Iraq,Qarah Qūsh,,Private Library of ʻAzīz Banī ʻAṭā Allāh,PLQ ABA,PAPER,Poems,pages 1-151,,,"1 column, 20 lines per page",1879,1879
https://w3id.org/vhmml/readingRoom/view/500958,MS 10,PLQ ABA 00010,Iraq,Qarah Qūsh,,Private Library of ʻAzīz Banī ʻAṭā Allāh,PLQ ABA,PAPER,Hymns,fol. 1r-18v,,,"1 column, 15 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/500962,MS 14,PLQ ABA 00014,Iraq,Qarah Qūsh,,Private Library of ʻAzīz Banī ʻAṭā Allāh,PLQ ABA,PAPER,,fol. 1r-5v,,,,1600,1800
https://w3id.org/vhmml/readingRoom/view/500966,MS 18,PLQ ABA 00018,Iraq,Qarah Qūsh,,Private Library of ʻAzīz Banī ʻAṭā Allāh,PLQ ABA,PAPER,,,,,,1800,2000
